Summary,Description,Start,End,Location
23rd match Rajasthan Royals v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-24 14:30:00+00:00,2015-04-24 18:30:00+00:00,"Sardar Patel Stadium, Motera, Ahmedabad"
24th match Mumbai Indians v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-25 10:30:00+00:00,2015-04-25 14:30:00+00:00,"Wankhede Stadium, Mumbai"
25th match Chennai Super Kings v Kings XI Punjab,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-25 14:30:00+00:00,2015-04-25 18:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
26th match Kolkata Knight Riders v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-26 10:30:00+00:00,2015-04-26 14:30:00+00:00,"Eden Gardens, Kolkata"
27th match Delhi Daredevils v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-26 14:30:00+00:00,2015-04-26 18:30:00+00:00,"Feroz Shah Kotla, Delhi"
28th match Kings XI Punjab v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-27 14:30:00+00:00,2015-04-27 18:30:00+00:00,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
29th match Kolkata Knight Riders v Delhi Daredevils,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-28 14:30:00+00:00,2015-04-28 18:30:00+00:00,"Eden Gardens, Kolkata"
30th match Royal Challengers Bangalore v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-29 14:30:00+00:00,2015-04-29 18:30:00+00:00,"M Chinnaswamy Stadium, Bangalore"
31st match Chennai Super Kings v Kolkata Knight Riders,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-30 14:30:00+00:00,2015-04-30 18:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
32nd match Delhi Daredevils v Kings XI Punjab,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-01 10:30:00+00:00,2015-05-01 14:30:00+00:00,"Feroz Shah Kotla, Delhi"
33rd match Mumbai Indians v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-01 14:30:00+00:00,2015-05-01 18:30:00+00:00,"Wankhede Stadium, Mumbai"
34th match Royal Challengers Bangalore v Kolkata Knight Riders,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-02 10:30:00+00:00,2015-05-02 14:30:00+00:00,"M Chinnaswamy Stadium, Bangalore"
35th match Sunrisers Hyderabad v Chennai Super Kings,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-02 14:30:00+00:00,2015-05-02 18:30:00+00:00,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
37th match Rajasthan Royals v Delhi Daredevils,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-03 00:00:00+00:00,2015-05-03 04:00:00+00:00,
36th match Kings XI Punjab v Mumbai Indians,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-03 10:30:00+00:00,2015-05-03 14:30:00+00:00,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
38th match Chennai Super Kings v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-04 10:30:00+00:00,2015-05-04 14:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
39th match Kolkata Knight Riders v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-04 14:30:00+00:00,2015-05-04 18:30:00+00:00,"Eden Gardens, Kolkata"
40th match Mumbai Indians v Delhi Daredevils,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-05 14:30:00+00:00,2015-05-05 18:30:00+00:00,"Wankhede Stadium, Mumbai"
